stock_symbol,stock_name
00715L,期街口布蘭特正2 
2881,富邦金          
00642U,期元大S&P石油   
2449,京元電子        
2002,中鋼            
2885,元大金          
2610,華航            
2882,國泰金          
2014,中鴻            
2887,台新金          
2312,金寶            
2330,台積電          
1301,台塑            
2884,玉山金          
1314,中石化          
1303,南亞            
1305,華夏            
2498,宏達電          
2888,新光金          
00881,國泰台灣5G+     
2353,宏碁            
2890,永豐金          
2615,萬海            
1718,中纖            
0050,元大台灣50      
071800,新光金國票06購01
2892,第一金          
1444,力麗            
6005,群益證          
1440,南紡            
2006,東和鋼鐵        
1304,台聚            
2303,聯電            
2371,大同            
1717,長興            
00671R,富邦NASDAQ反1   
2834,臺企銀          
068536,聯發科中信04購02
05836P,臺股指凱基07售14
1326,台化            
3443,創意            
079189,中鋼兆豐06購01  
00669R,國泰美國道瓊反1 
2812,台中銀          
3545,敦泰            
2614,東森            
2637,慧洋-KY         
085873,聯詠元富09購05  
030963,春源元大0A購01  
3035,智原            
030275,申豐統一0C購01  
8046,南電            
085667,聯詠統一0A購02  
083081,FBVIX元大07購02 
2605,新興            
1455,集盛            
2352,佳世達          
2027,大成鋼          
2103,台橡            
1447,力鵬            
1609,大亞            
1605,華新            
3406,玉晶光          
2328,廣宇            
2105,正新            
083945,FBVIX凱基08購03 
1103,嘉泥            
081867,中石化麥證07購01
1310,台苯            
2034,允強            
3673,TPK-KY          
06741P,群創元富0A售04  
9907,統一實          
06756P,南帝凱基0A售02  
085003,聯發科永豐08購03
030699,中環群益0A購01  
06276P,臻鼎元富08售02  
2458,義隆            
05915P,臺股指元大08售03
1710,東聯            
2520,冠德            
8150,南茂            
2484,希華            
00701,國泰股利精選30  
2314,台揚            
2402,毅嘉            
2891,中信金          
089490,台積電元富0C購20
3189,景碩            
2355,敬鵬            
3029,零壹            
06089P,友達元大09售04  
080141,中石化凱基07購02
082128,鴻海統一09購04  
9921,巨大            
089977,長榮元大0C購04  
086268,群創永豐09購01  
083729,FBVIX國票07購01 
081671,長榮富邦08購02  
030764,聯電康和0A購01  
00692,富邦公司治理    
082319,鴻海統一09購05  
2845,遠東銀          
3042,晶技            
082779,台達電元富07購02
086921,台積電兆豐0A購02
2329,華泰            
8112,至上            
9904,寶成            
2377,微星            
00677U,期富邦VIX       
06638P,立積凱基09售02  
2305,全友            
081757,長榮元大07購12  
00676R,富邦臺灣加權反1 
069192,晶技統一05購01  
085510,臺股指凱基09購17
088413,聯電群益0A購06  
05208P,聯電凱基07售04  
06640P,立積群益09售01  
2009,第一銅          
4414,如興            
086591,富邦金國票09購01
2107,厚生            
081432,燁輝統一09購01  
079932,群創富邦06購03  
06798P,群創康和0B售01  
031017,瑞祺永豐0A購02  
085915,光罩中信08購01  
079789,旺宏日盛07購01  
089976,長榮元大0A購02  
080253,中石化國泰08購01
3005,神基            
4961,天鈺            
2351,順德            
082229,中鋼麥證07購01  
2028,威致            
9945,潤泰新          
3034,聯詠            
9938,百和            
2867,三商壽          
088074,技嘉統一0B購02  
083758,台達電兆豐07購01
077452,新光鋼國票07購01
3682,亞太電          
3596,智易            
1337,再生-KY         
082130,台積電統一0A購02
089848,長榮元大09購11  
087368,元石油元大0B購03
087237,允強兆豐09購01  
085048,祥碩元富09購01  
2349,錸德            
072934,泰碩元大07購01  
084383,台積電統一0B購04
1532,勤美            
03787P,瑞昱中信09售01  
4915,致伸            
030137,聯詠凱基0A購03  
00634R,富邦上証反1     
087463,台積電國票0B購05
2897,王道銀行        
066871,台表科元富07購01
084983,鴻海群益08購15  
075725,華新科元大05購03
2104,國際中橡        
05960P,台積電群益08售11
074257,聯茂統一06購01  
082643,聯發科中信07購06
